tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,brand
978608,352095,True,Sat Oct 14 08:59:18 +0000 2017,@AmazonHelp Its not just about availability of the product but the delivery too. Actually amazon don't have COD in some of the areas. And its pathetic.,"978610,978611",978607,AmazonHelp
709013,289521,True,Tue Oct 10 20:41:48 +0000 2017,"@AmazonHelp Yes, because on the 'my orders' page it says 'sorry it's late, please check here for more options if it hasn't arrived by the 14th'","709015,709016",709012,AmazonHelp
2135742,628318,True,Tue Nov 21 02:55:34 +0000 2017,@AmazonHelp I actually haven't tried it. I just thought it was funny because of the wrong date.,2135740,2135743,AmazonHelp
1201948,AmazonHelp,False,Wed Oct 25 13:57:27 +0000 2017,@402404 Vous pouvez demander un remplacement contre un retour directement à notre SAV. ^ARC,,1201947,AmazonHelp
1626680,AmazonHelp,False,Tue Oct 31 13:19:09 +0000 2017,"@498086 I certainly understand your concern. But, as this is a social media platform we can't view your account details. (1/2)^HR",1626678,1626681,AmazonHelp
575371,AmazonHelp,False,Sun Dec 03 21:48:30 +0000 2017,@255384 We're unable to access account information via Twitter. Please contact us directly via phone or chat so we can look into this for you: https://t.co/JzP7hlA23B ^JF,,575370,AmazonHelp
2773025,775057,True,Tue Nov 21 15:25:05 +0000 2017,"@AmazonHelp Which means your mobile call back support is not working as expected is it ? Ok here is my query , I have renewed my prime mem on 13 and I have not received the Amazon pay balance as mentioned in the renewal conditions.",2773026,2773024,AmazonHelp
38839,AmazonHelp,False,Wed Nov 01 14:47:00 +0000 2017,"@124291 Abbiamo ricevuto il tuo post privato, a breve riceverai una risposta. A presto! ^GA",,38840,AmazonHelp
65797,131049,True,Thu Nov 30 08:38:43 +0000 2017,@AmazonHelp Je ne vois pas où je peux le signaler sur mon espace client ? J’ai envoyé un message au vendeur qui est resté sans réponse,65796,65798,AmazonHelp
2500780,713393,True,Wed Nov 15 19:48:29 +0000 2017,"@AmazonHelp A ver, al transportista no le ha salido de las narices venir y ha puesto que no habia nadie en casa. No hay más vuelta de hoja. https://t.co/vr2SAVOfps",2500781,2500779,AmazonHelp
530060,242746,True,Sun Dec 03 06:20:59 +0000 2017,"@AmazonHelp It's been 24 hours now ! And no reply from you People
@115850",530061,530059,AmazonHelp
579882,AmazonHelp,False,Sun Dec 03 11:27:29 +0000 2017,"@256573 That's odd! Have you reached out to us via phone or chat so we can file that claim on your behalf? If not, you can do so here: https://t.co/JzP7hlA23B ^JY",579883,579884,AmazonHelp
1137719,AmazonHelp,False,Tue Oct 24 09:57:00 +0000 2017,"@387985 Hi, for security we can't see your account here. Have you received a cancellation confirmation email? ^TS",1137720,1137721,AmazonHelp
107335,139838,True,Thu Nov 30 18:38:56 +0000 2017,"@AmazonHelp hello, she has done that, they have sorted the extra payments that went out but she still hasnt recieved her parcels, and they havent told her where they are, just says they were delivered last friday...Amazon is abit of a joke if im honest!",107334,107336,AmazonHelp
